1000 48356
0 10 5
0 29 7
0 54 0
0 63 13
0 120 6
0 123 12
0 125 2
0 131 9
0 138 13
0 239 5
0 263 15
0 264 1
0 290 0
0 320 12
0 379 2
0 420 15
0 445 9
0 449 11
0 499 4
0 583 0
0 676 6
0 682 4
0 708 15
0 721 8
0 735 6
0 738 10
0 750 9
0 761 9
0 784 1
0 812 14
0 859 0
0 900 7
0 905 13
0 918 1
0 921 8
0 933 3
0 957 11
0 966 12
0 980 6
0 526 15
0 531 6
0 541 14
0 545 15
0 576 2
0 598 7
0 620 13
0 624 9
0 627 15
0 630 5
0 674 4
0 712 13
0 722 3
0 725 12
0 747 5
0 751 15
0 760 14
0 819 14
0 822 8
0 839 8
0 869 13
0 890 12
0 903 10
0 924 13
0 930 13
0 931 12
0 970 8
1 4 12
1 12 2
1 18 4
1 47 5
1 49 5
1 66 8
1 81 12
1 161 13
1 182 9
1 203 13
1 218 7
1 231 13
1 238 3
1 243 2
1 248 3
1 272 14
1 314 13
1 320 2
1 335 15
1 355 8
1 367 12
1 428 13
1 462 10
1 480 12
1 508 6
1 511 3
1 517 12
1 551 6
1 559 12
1 607 10
1 611 14
1 650 15
1 660 4
1 665 13
1 785 14
1 810 7
1 855 15
1 856 6
1 887 10
1 893 4
1 975 13
1 998 4
1 523 12
1 565 13
1 574 9
1 586 4
1 606 11
1 609 2
1 634 8
1 720 5
1 726 11
1 737 4
1 748 2
1 824 8
1 839 4
1 879 13
1 898 1
1 929 11
1 932 15
1 961 7
1 990 6
2 7 13
2 32 2
2 50 2
2 53 11
2 75 15
2 98 4
2 110 7
2 121 12
2 130 14
2 160 10
2 189 5
2 208 10
2 210 10
2 219 12
2 221 11
2 224 1
2 226 4
2 233 4
2 244 5
2 248 0
2 276 2
2 284 1
2 289 3
2 333 2
2 366 0
2 410 0
2 439 10
2 452 13
2 457 12
2 491 4
2 509 13
2 540 15
2 586 14
2 590 4
2 623 6
2 631 0
2 658 11
2 701 4
2 707 1
2 718 9
2 777 0
2 784 5
2 814 4
2 818 3
2 824 15
2 837 10
2 853 9
2 872 11
2 886 4
2 910 6
2 920 5
2 940 4
2 949 5
2 968 10
2 969 7
2 972 8
2 550 3
2 616 10
2 622 10
2 646 3
2 705 0
2 724 6
2 725 3
2 746 4
2 781 5
2 795 3
2 809 0
2 828 9
2 833 3
2 850 8
2 912 14
2 983 13
2 989 1
