15 106 
0 3 10
0 11 7
0 12 12
0 14 5
1 3 10
1 6 0
1 8 7
1 9 10
1 10 -3
1 11 4
1 13 6
1 14 7
2 4 11
2 5 13
2 10 7
3 2 5
3 7 2
3 8 8
3 9 11
3 10 9
3 14 6
4 2 9
4 3 -3
4 6 5
4 7 6
4 8 -2
4 11 10
4 14 -2
5 0 13
5 3 12
5 4 9
5 8 8
5 10 14
6 0 1
6 2 11
6 3 13
6 4 12
6 7 7
6 8 -1
6 9 3
6 10 -1
6 11 6
6 12 4
7 3 0
7 4 8
7 6 9
7 8 -2
7 9 3
7 12 10
7 13 8
8 3 5
8 7 3
8 9 8
8 10 1
8 11 4
8 12 0
9 0 3
9 1 -1
9 2 4
9 3 11
9 4 10
9 6 15
9 7 4
9 8 13
9 10 7
9 14 11
10 0 1
10 2 4
10 5 14
10 6 4
10 11 8
10 13 -2
10 14 -3
11 1 -2
11 4 2
11 5 -3
11 9 5
11 10 -1
11 12 6
12 0 1
12 2 6
12 5 5
12 6 2
12 8 2
12 9 8
12 11 7
12 13 15
12 14 6
13 0 6
13 2 1
13 5 11
13 8 1
13 9 1
13 12 -1
14 0 15
14 1 11
14 2 -1
14 3 9
14 4 7
14 5 6
14 6 9
14 7 13
14 9 6
14 10 2
14 11 1
14 12 6
